Step,Temp,TotEng,Press,c_p_all,v_mcmoves,v_mcaccratio
16200,0.49466129,-5.4240463,-0.91918754,-1.3334399,2025000,0.47619259
16400,0.49466129,-5.4530428,-0.87953131,-1.2937836,2050000,0.47609171
16600,0.49466129,-5.4341084,-0.93321351,-1.3474658,2075000,0.4760959
16800,0.49466129,-5.4238741,-0.71799103,-1.1322433,2100000,0.47598952
17000,0.49466129,-5.401981,-0.79614299,-1.2103953,2125000,0.47589412
17200,0.49466129,-5.3588353,-0.36771616,-0.78196848,2150000,0.47584233
17400,0.49466129,-5.5246917,-1.3357984,-1.7500507,2175000,0.47582667
17600,0.49466129,-5.5087851,-1.3380122,-1.7522645,2200000,0.47584318
17800,0.49466129,-5.5221238,-1.393641,-1.8078933,2225000,0.47583056
18000,0.49466129,-5.4931816,-1.0287889,-1.4430412,2250000,0.47583733
18200,0.49466129,-5.4005992,-0.74174058,-1.1559929,2275000,0.47575165
18400,0.49466129,-5.4264521,-0.91943789,-1.3336902,2300000,0.47565652
18600,0.49466129,-5.4755073,-1.1465292,-1.5607816,2325000,0.47572
18800,0.49466129,-5.4807768,-1.1794301,-1.5936824,2350000,0.47574426
19000,0.49466129,-5.5222368,-1.4673682,-1.8816205,2375000,0.47578779
19200,0.49466129,-5.5253177,-1.5005077,-1.9147601,2400000,0.47591375
19400,0.49466129,-5.4136604,-0.87129655,-1.2855489,2425000,0.47593979
19600,0.49466129,-5.438289,-0.82246787,-1.2367202,2450000,0.47588082
19800,0.49466129,-5.4109625,-0.78071369,-1.194966,2475000,0.47588525
20000,0.49466129,-5.5106454,-1.2747441,-1.6889964,2500000,0.4758004
